date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:04	22704/22704	---M--	200	added ('OK')	image/jpeg	etag:%2254350499-58b0%22	https://www.artesiangroup.co.uk/img/israel.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/israel.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:04	23533/23533	---M--	200	added ('OK')	image/jpeg	etag:%225435049c-5bed%22	https://www.artesiangroup.co.uk/img/sarah.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/sarah.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:04	24070/24070	---M--	200	added ('OK')	image/jpeg	etag:%2254350494-5e06%22	https://www.artesiangroup.co.uk/img/alper.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/alper.jpg	(from https://www.artesiangroup.co.uk/associates)
20:34:05	143415/143415	---M--	200	added ('OK')	image/jpeg	etag:%225435049b-23037%22	https://www.artesiangroup.co.uk/img/name.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/name.jpg	(from https://www.artesiangroup.co.uk/name)
20:34:05	115234/115234	---M--	200	added ('OK')	image/jpeg	etag:%225435049b-1c222%22	https://www.artesiangroup.co.uk/img/our-values.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/our-values.jpg	(from https://www.artesiangroup.co.uk/our-values)
20:34:06	74116/74116	---M--	200	added ('OK')	image/jpeg	etag:%2254350497-12184%22	https://www.artesiangroup.co.uk/img/contact.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/contact.jpg	(from https://www.artesiangroup.co.uk/get-in-touch)
20:34:06	70237/70237	---M--	200	added ('OK')	image/jpeg	etag:%2254350499-1125d%22	https://www.artesiangroup.co.uk/img/healthy-leadership.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/healthy-leadership.jpg	(from https://www.artesiangroup.co.uk/healthy-leadership)
20:34:06	53715/53715	---M--	200	added ('OK')	image/jpeg	etag:%225435049d-d1d3%22	https://www.artesiangroup.co.uk/img/stage1.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/stage1.jpg	(from https://www.artesiangroup.co.uk/healthy-leadership)
20:34:06	70209/70209	---M--	200	added ('OK')	image/jpeg	etag:%225435049d-11241%22	https://www.artesiangroup.co.uk/img/stage2.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/stage2.jpg	(from https://www.artesiangroup.co.uk/healthy-leadership)
20:34:06	79594/79594	---M--	200	added ('OK')	image/jpeg	etag:%225435049d-136ea%22	https://www.artesiangroup.co.uk/img/stage3.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/stage3.jpg	(from https://www.artesiangroup.co.uk/healthy-leadership)
20:34:07	1198/1198	---M--	200	added ('OK')	image/jpeg	etag:%225435049b-4ae%22	https://www.artesiangroup.co.uk/img/play.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/play.jpg	(from https://www.artesiangroup.co.uk/healthy-leadership)
20:34:07	117291/117291	---M--	200	added ('OK')	image/jpeg	etag:%225c17c6d5-1ca2b%22	https://www.artesiangroup.co.uk/img/diagnos.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/diagnos.jpg	(from https://www.artesiangroup.co.uk/diagnostic-tools)
20:34:08	37405/37405	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2254350492-921d%22	https://www.artesiangroup.co.uk/css/font/fontawesome-webfont.eot?v=3.2.1	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/font/fontawesome-webfontf77b.eot	(from https://www.artesiangroup.co.uk/css/font-awesome.css)
20:34:08	37405/37405	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2254350492-921d%22	https://www.artesiangroup.co.uk/css/font/fontawesome-webfont.eot?	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/font/fontawesome-webfontd41d.eot	(from https://www.artesiangroup.co.uk/css/font-awesome.css)
20:34:08	43572/43572	---M--	200	added ('OK')	application/font-woff	etag:%2254350492-aa34%22	https://www.artesiangroup.co.uk/css/font/fontawesome-webfont.woff?v=3.2.1	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/font/fontawesome-webfontf77b.woff	(from https://www.artesiangroup.co.uk/css/font-awesome.css)
20:34:08	79076/79076	---M--	200	added ('OK')	application/font-sfnt	etag:%2254350492-134e4%22	https://www.artesiangroup.co.uk/css/font/fontawesome-webfont.ttf?v=3.2.1	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/font/fontawesome-webfontf77b.ttf	(from https://www.artesiangroup.co.uk/css/font-awesome.css)
20:34:09	197829/197829	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254350492-304c5%22	https://www.artesiangroup.co.uk/css/font/fontawesome-webfont.svg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/css/font/fontawesome-webfont.svg	(from https://www.artesiangroup.co.uk/css/font-awesome.css)
20:34:09	28802/28802	---M--	200	added ('OK')	image/jpeg	etag:%2255c9d849-7082%22	https://www.artesiangroup.co.uk/img/new.jpg	D:/artesiangroup/artesiangroup/www.artesiangroup.co.uk/img/new.jpg	(from https://www.artesiangroup.co.uk/praise)
